id,name,height,weight,base_experience,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities
309,electrike,6,152,59,electric,,40,45,40,65,40,65,"static, lightning-rod, minus"
310,manectric,15,402,166,electric,,70,75,60,105,60,105,"static, lightning-rod, minus"
311,plusle,4,42,142,electric,,60,50,40,85,75,95,"plus, lightning-rod"
312,minun,4,42,142,electric,,60,40,50,75,85,95,"minus, volt-absorb"
313,volbeat,7,177,151,bug,,65,73,75,47,85,85,"illuminate, swarm, prankster"
314,illumise,6,177,151,bug,,65,47,75,73,85,85,"oblivious, tinted-lens, prankster"
315,roselia,3,20,140,grass,poison,50,60,45,100,80,65,"natural-cure, poison-point, leaf-guard"
316,gulpin,4,103,60,poison,,70,43,53,43,53,40,"liquid-ooze, sticky-hold, gluttony"
317,swalot,17,800,163,poison,,100,73,83,73,83,55,"liquid-ooze, sticky-hold, gluttony"
318,carvanha,8,208,61,water,dark,45,90,20,65,20,65,"rough-skin, speed-boost"
319,sharpedo,18,888,161,water,dark,70,120,40,95,40,95,"rough-skin, speed-boost"
320,wailmer,20,1300,80,water,,130,70,35,70,35,60,"water-veil, oblivious, pressure"
321,wailord,145,3980,175,water,,170,90,45,90,45,60,"water-veil, oblivious, pressure"
322,numel,7,240,61,fire,ground,60,60,40,65,45,35,"oblivious, simple, own-tempo"
323,camerupt,19,2200,161,fire,ground,70,100,70,105,75,40,"magma-armor, solid-rock, anger-point"
324,torkoal,5,804,165,fire,,70,85,140,85,70,20,"white-smoke, drought, shell-armor"
325,spoink,7,306,66,psychic,,60,25,35,70,80,60,"thick-fat, own-tempo, gluttony"
326,grumpig,9,715,165,psychic,,80,45,65,90,110,80,"thick-fat, own-tempo, gluttony"
327,spinda,11,50,126,normal,,60,60,60,60,60,60,"own-tempo, tangled-feet, contrary"
328,trapinch,7,150,58,ground,,45,100,45,45,45,10,"hyper-cutter, arena-trap, sheer-force"
329,vibrava,11,153,119,ground,dragon,50,70,50,50,50,70,levitate
330,flygon,20,820,234,ground,dragon,80,100,80,80,80,100,levitate
331,cacnea,4,513,67,grass,,50,85,40,85,40,35,"sand-veil, water-absorb"
332,cacturne,13,774,166,grass,dark,70,115,60,115,60,55,"sand-veil, water-absorb"
333,swablu,4,12,62,normal,flying,45,40,60,40,75,50,"natural-cure, cloud-nine"
334,altaria,11,206,172,dragon,flying,75,70,90,70,105,80,"natural-cure, cloud-nine"
335,zangoose,13,403,160,normal,,73,115,60,60,60,90,"immunity, toxic-boost"
336,seviper,27,525,160,poison,,73,100,60,100,60,65,"shed-skin, infiltrator"
337,lunatone,10,1680,161,rock,psychic,90,55,65,95,85,70,levitate
338,solrock,12,1540,161,rock,psychic,90,95,85,55,65,70,levitate
339,barboach,4,19,58,water,ground,50,48,43,46,41,60,"oblivious, anticipation, hydration"
340,whiscash,9,236,164,water,ground,110,78,73,76,71,60,"oblivious, anticipation, hydration"
341,corphish,6,115,62,water,,43,80,65,50,35,35,"hyper-cutter, shell-armor, adaptability"
342,crawdaunt,11,328,164,water,dark,63,120,85,90,55,55,"hyper-cutter, shell-armor, adaptability"
343,baltoy,5,215,60,ground,psychic,40,40,55,40,70,55,levitate
344,claydol,15,1080,175,ground,psychic,60,70,105,70,120,75,levitate
345,lileep,10,238,71,rock,grass,66,41,77,61,87,23,"suction-cups, storm-drain"
346,cradily,15,604,173,rock,grass,86,81,97,81,107,43,"suction-cups, storm-drain"
347,anorith,7,125,71,rock,bug,45,95,50,40,50,75,"battle-armor, swift-swim"
348,armaldo,15,682,173,rock,bug,75,125,100,70,80,45,"battle-armor, swift-swim"
349,feebas,6,74,40,water,,20,15,20,10,55,80,"swift-swim, oblivious, adaptability"
350,milotic,62,1620,189,water,,95,60,79,100,125,81,"marvel-scale, competitive, cute-charm"
351,castform,3,8,147,normal,,70,70,70,70,70,70,forecast
352,kecleon,10,220,154,normal,,60,90,70,60,120,40,"color-change, protean"
353,shuppet,6,23,59,ghost,,44,75,35,63,33,45,"insomnia, frisk, cursed-body"
354,banette,11,125,159,ghost,,64,115,65,83,63,65,"insomnia, frisk, cursed-body"
355,duskull,8,150,59,ghost,,20,40,90,30,90,25,"levitate, frisk"
356,dusclops,16,306,159,ghost,,40,70,130,60,130,25,"pressure, frisk"
357,tropius,20,1000,161,grass,flying,99,68,83,72,87,51,"chlorophyll, solar-power, harvest"
358,chimecho,6,10,159,psychic,,75,50,80,95,90,65,levitate
359,absol,12,470,163,dark,,65,130,60,75,60,75,"pressure, super-luck, justified"
360,wynaut,6,140,52,psychic,,95,23,48,23,48,23,"shadow-tag, telepathy"
361,snorunt,7,168,60,ice,,50,50,50,50,50,50,"inner-focus, ice-body, moody"
362,glalie,15,2565,168,ice,,80,80,80,80,80,80,"inner-focus, ice-body, moody"
363,spheal,8,395,58,ice,water,70,40,50,55,50,25,"thick-fat, ice-body, oblivious"
364,sealeo,11,876,144,ice,water,90,60,70,75,70,45,"thick-fat, ice-body, oblivious"
365,walrein,14,1506,239,ice,water,110,80,90,95,90,65,"thick-fat, ice-body, oblivious"
366,clamperl,4,525,69,water,,35,64,85,74,55,32,"shell-armor, rattled"
367,huntail,17,270,170,water,,55,104,105,94,75,52,"swift-swim, water-veil"
368,gorebyss,18,226,170,water,,55,84,105,114,75,52,"swift-swim, hydration"
369,relicanth,10,234,170,water,rock,100,90,130,45,65,55,"swift-swim, rock-head, sturdy"
370,luvdisc,6,87,116,water,,43,30,55,40,65,97,"swift-swim, hydration"
371,bagon,6,421,60,dragon,,45,75,60,40,30,50,"rock-head, sheer-force"
372,shelgon,11,1105,147,dragon,,65,95,100,60,50,50,"rock-head, overcoat"
373,salamence,15,1026,270,dragon,flying,95,135,80,110,80,100,"intimidate, moxie"
374,beldum,6,952,60,steel,psychic,40,55,80,35,60,30,"clear-body, light-metal"
375,metang,12,2025,147,steel,psychic,60,75,100,55,80,50,"clear-body, light-metal"
376,metagross,16,5500,270,steel,psychic,80,135,130,95,90,70,"clear-body, light-metal"
377,regirock,17,2300,261,rock,,80,100,200,50,100,50,"clear-body, sturdy"
378,regice,18,1750,261,ice,,80,50,100,100,200,50,"clear-body, ice-body"
379,registeel,19,2050,261,steel,,80,75,150,75,150,50,"clear-body, light-metal"
380,latias,14,400,270,dragon,psychic,80,80,90,110,130,110,levitate
381,latios,20,600,270,dragon,psychic,80,90,80,130,110,110,levitate
382,kyogre,45,3520,302,water,,100,100,90,150,140,90,drizzle
383,groudon,35,9500,302,ground,,100,150,140,100,90,90,drought
384,rayquaza,70,2065,306,dragon,flying,105,150,90,150,90,95,air-lock
385,jirachi,3,11,270,steel,psychic,100,100,100,100,100,100,serene-grace
386,deoxys-normal,17,608,270,psychic,,50,150,50,150,50,150,pressure
387,turtwig,4,102,64,grass,,55,68,64,45,55,31,"overgrow, shell-armor"
388,grotle,11,970,142,grass,,75,89,85,55,65,36,"overgrow, shell-armor"
389,torterra,22,3100,236,grass,ground,95,109,105,75,85,56,"overgrow, shell-armor"
390,chimchar,5,62,62,fire,,44,58,44,58,44,61,"blaze, iron-fist"
391,monferno,9,220,142,fire,fighting,64,78,52,78,52,81,"blaze, iron-fist"
392,infernape,12,550,240,fire,fighting,76,104,71,104,71,108,"blaze, iron-fist"
393,piplup,4,52,63,water,,53,51,53,61,56,40,"torrent, competitive"
394,prinplup,8,230,142,water,,64,66,68,81,76,50,"torrent, competitive"
395,empoleon,17,845,239,water,steel,84,86,88,111,101,60,"torrent, competitive"
396,starly,3,20,49,normal,flying,40,55,30,30,30,60,"keen-eye, reckless"
397,staravia,6,155,119,normal,flying,55,75,50,40,40,80,"intimidate, reckless"
398,staraptor,12,249,218,normal,flying,85,120,70,50,60,100,"intimidate, reckless"
399,bidoof,5,200,50,normal,,59,45,40,35,40,31,"simple, unaware, moody"
400,bibarel,10,315,144,normal,water,79,85,60,55,60,71,"simple, unaware, moody"
401,kricketot,3,22,39,bug,,37,25,41,25,41,25,"shed-skin, run-away"
402,kricketune,10,255,134,bug,,77,85,51,55,51,65,"swarm, technician"
403,shinx,5,95,53,electric,,45,65,34,40,34,45,"rivalry, intimidate, guts"
404,luxio,9,305,127,electric,,60,85,49,60,49,60,"rivalry, intimidate, guts"
405,luxray,14,420,235,electric,,80,120,79,95,79,70,"rivalry, intimidate, guts"
406,budew,2,12,56,grass,poison,40,30,35,50,70,55,"natural-cure, poison-point, leaf-guard"
407,roserade,9,145,232,grass,poison,60,70,65,125,105,90,"natural-cure, poison-point, technician"
408,cranidos,9,315,70,rock,,67,125,40,30,30,58,"mold-breaker, sheer-force"
409,rampardos,16,1025,173,rock,,97,165,60,65,50,58,"mold-breaker, sheer-force"
410,shieldon,5,570,70,rock,steel,30,42,118,42,88,30,"sturdy, soundproof"
411,bastiodon,13,1495,173,rock,steel,60,52,168,47,138,30,"sturdy, soundproof"
412,burmy,2,34,45,bug,,40,29,45,29,45,36,"shed-skin, overcoat"
413,wormadam-plant,5,65,148,bug,grass,60,59,85,79,105,36,"anticipation, overcoat"
414,mothim,9,233,148,bug,flying,70,94,50,94,50,66,"swarm, tinted-lens"
415,combee,3,55,49,bug,flying,30,30,42,30,42,70,"honey-gather, hustle"
416,vespiquen,12,385,166,bug,flying,70,80,102,80,102,40,"pressure, unnerve"
417,pachirisu,4,39,142,electric,,60,45,70,45,90,95,"run-away, pickup, volt-absorb"
418,buizel,7,295,66,water,,55,65,35,60,30,85,"swift-swim, water-veil"
419,floatzel,11,335,173,water,,85,105,55,85,50,115,"swift-swim, water-veil"
420,cherubi,4,33,55,grass,,45,35,45,62,53,35,chlorophyll
421,cherrim,5,93,158,grass,,70,60,70,87,78,85,flower-gift
422,shellos,3,63,65,water,,76,48,48,57,62,34,"sticky-hold, storm-drain, sand-force"
423,gastrodon,9,299,166,water,ground,111,83,68,92,82,39,"sticky-hold, storm-drain, sand-force"
424,ambipom,12,203,169,normal,,75,100,66,60,66,115,"technician, pickup, skill-link"
425,drifloon,4,12,70,ghost,flying,90,50,34,60,44,70,"aftermath, unburden, flare-boost"
426,drifblim,12,150,174,ghost,flying,150,80,44,90,54,80,"aftermath, unburden, flare-boost"
427,buneary,4,55,70,normal,,55,66,44,44,56,85,"run-away, klutz, limber"
428,lopunny,12,333,168,normal,,65,76,84,54,96,105,"cute-charm, klutz, limber"
429,mismagius,9,44,173,ghost,,60,60,60,105,105,105,levitate
430,honchkrow,9,273,177,dark,flying,100,125,52,105,52,71,"insomnia, super-luck, moxie"
431,glameow,5,39,62,normal,,49,55,42,42,37,85,"limber, own-tempo, keen-eye"
432,purugly,10,438,158,normal,,71,82,64,64,59,112,"thick-fat, own-tempo, defiant"
433,chingling,2,6,57,psychic,,45,30,50,65,50,45,levitate
434,stunky,4,192,66,poison,dark,63,63,47,41,41,74,"stench, aftermath, keen-eye"
435,skuntank,10,380,168,poison,dark,103,93,67,71,61,84,"stench, aftermath, keen-eye"
436,bronzor,5,605,60,steel,psychic,57,24,86,24,86,23,"levitate, heatproof, heavy-metal"
437,bronzong,13,1870,175,steel,psychic,67,89,116,79,116,33,"levitate, heatproof, heavy-metal"
438,bonsly,5,150,58,rock,,50,80,95,10,45,10,"sturdy, rock-head, rattled"
439,mime-jr,6,130,62,psychic,fairy,20,25,45,70,90,60,"soundproof, filter, technician"
440,happiny,6,244,110,normal,,100,5,5,15,65,30,"natural-cure, serene-grace, friend-guard"
441,chatot,5,19,144,normal,flying,76,65,45,92,42,91,"keen-eye, tangled-feet, big-pecks"
442,spiritomb,10,1080,170,ghost,dark,50,92,108,92,108,35,"pressure, infiltrator"
443,gible,7,205,60,dragon,ground,58,70,45,40,45,42,"sand-veil, rough-skin"
444,gabite,14,560,144,dragon,ground,68,90,65,50,55,82,"sand-veil, rough-skin"
445,garchomp,19,950,270,dragon,ground,108,130,95,80,85,102,"sand-veil, rough-skin"
446,munchlax,6,1050,78,normal,,135,85,40,40,85,5,"pickup, thick-fat, gluttony"
447,riolu,7,202,57,fighting,,40,70,40,35,40,60,"steadfast, inner-focus, prankster"
448,lucario,12,540,184,fighting,steel,70,110,70,115,70,90,"steadfast, inner-focus, justified"
449,hippopotas,8,495,66,ground,,68,72,78,38,42,32,"sand-stream, sand-force"
450,hippowdon,20,3000,184,ground,,108,112,118,68,72,47,"sand-stream, sand-force"
451,skorupi,8,120,66,poison,bug,40,50,90,30,55,65,"battle-armor, sniper, keen-eye"
452,drapion,13,615,175,poison,dark,70,90,110,60,75,95,"battle-armor, sniper, keen-eye"
453,croagunk,7,230,60,poison,fighting,48,61,40,61,40,50,"anticipation, dry-skin, poison-touch"
454,toxicroak,13,444,172,poison,fighting,83,106,65,86,65,85,"anticipation, dry-skin, poison-touch"
455,carnivine,14,270,159,grass,,74,100,72,90,72,46,levitate
456,finneon,4,70,66,water,,49,49,56,49,61,66,"swift-swim, storm-drain, water-veil"
457,lumineon,12,240,161,water,,69,69,76,69,86,91,"swift-swim, storm-drain, water-veil"
458,mantyke,10,650,69,water,flying,45,20,50,60,120,50,"swift-swim, water-absorb, water-veil"
459,snover,10,505,67,grass,ice,60,62,50,62,60,40,"snow-warning, soundproof"
460,abomasnow,22,1355,173,grass,ice,90,92,75,92,85,60,"snow-warning, soundproof"
461,weavile,11,340,179,dark,ice,70,120,65,45,85,125,"pressure, pickpocket"
462,magnezone,12,1800,241,electric,steel,70,70,115,130,90,60,"magnet-pull, sturdy, analytic"
463,lickilicky,17,1400,180,normal,,110,85,95,80,95,50,"own-tempo, oblivious, cloud-nine"
464,rhyperior,24,2828,241,ground,rock,115,140,130,55,55,40,"lightning-rod, solid-rock, reckless"
465,tangrowth,20,1286,187,grass,,100,100,125,110,50,50,"chlorophyll, leaf-guard, regenerator"
466,electivire,18,1386,243,electric,,75,123,67,95,85,95,"motor-drive, vital-spirit"
467,magmortar,16,680,243,fire,,75,95,67,125,95,83,"flame-body, vital-spirit"
468,togekiss,15,380,245,fairy,flying,85,50,95,120,115,80,"hustle, serene-grace, super-luck"
469,yanmega,19,515,180,bug,flying,86,76,86,116,56,95,"speed-boost, tinted-lens, frisk"
470,leafeon,10,255,184,grass,,65,110,130,60,65,95,"leaf-guard, chlorophyll"
471,glaceon,8,259,184,ice,,65,60,110,130,95,65,"snow-cloak, ice-body"
472,gliscor,20,425,179,ground,flying,75,95,125,45,75,95,"hyper-cutter, sand-veil, poison-heal"
473,mamoswine,25,2910,239,ice,ground,110,130,80,70,60,80,"oblivious, snow-cloak, thick-fat"
474,porygon-z,9,340,241,normal,,85,80,70,135,75,90,"adaptability, download, analytic"
475,gallade,16,520,233,psychic,fighting,68,125,65,65,115,80,"steadfast, sharpness, justified"
476,probopass,14,3400,184,rock,steel,60,55,145,75,150,40,"sturdy, magnet-pull, sand-force"
477,dusknoir,22,1066,236,ghost,,45,100,135,65,135,45,"pressure, frisk"
478,froslass,13,266,168,ice,ghost,70,80,70,80,70,110,"snow-cloak, cursed-body"
479,rotom,3,3,154,electric,ghost,50,50,77,95,77,91,levitate
480,uxie,3,3,261,psychic,,75,75,130,75,130,95,levitate
481,mesprit,3,3,261,psychic,,80,105,105,105,105,80,levitate
482,azelf,3,3,261,psychic,,75,125,70,125,70,115,levitate
483,dialga,54,6830,306,steel,dragon,100,120,120,150,100,90,"pressure, telepathy"
484,palkia,42,3360,306,water,dragon,90,120,100,150,120,100,"pressure, telepathy"
485,heatran,17,4300,270,fire,steel,91,90,106,130,106,77,"flash-fire, flame-body"
486,regigigas,37,4200,302,normal,,110,160,110,80,110,100,slow-start
487,giratina-altered,45,7500,306,ghost,dragon,150,100,120,100,120,90,"pressure, telepathy"
488,cresselia,15,856,270,psychic,,120,70,110,75,120,85,levitate
489,phione,4,31,216,water,,80,80,80,80,80,80,hydration
490,manaphy,3,14,270,water,,100,100,100,100,100,100,hydration
491,darkrai,15,505,270,dark,,70,90,90,135,90,125,bad-dreams
492,shaymin-land,2,21,270,grass,,100,100,100,100,100,100,natural-cure
493,arceus,32,3200,324,normal,,120,120,120,120,120,120,multitype
494,victini,4,40,270,psychic,fire,100,100,100,100,100,100,victory-star
495,snivy,6,81,62,grass,,45,45,55,45,55,63,"overgrow, contrary"
496,servine,8,160,145,grass,,60,60,75,60,75,83,"overgrow, contrary"
497,serperior,33,630,238,grass,,75,75,95,75,95,113,"overgrow, contrary"
498,tepig,5,99,62,fire,,65,63,45,45,45,45,"blaze, thick-fat"
499,pignite,10,555,146,fire,fighting,90,93,55,70,55,55,"blaze, thick-fat"
500,emboar,16,1500,238,fire,fighting,110,123,65,100,65,65,"blaze, reckless"
501,oshawott,5,59,62,water,,55,55,45,63,45,45,"torrent, shell-armor"
502,dewott,8,245,145,water,,75,75,60,83,60,60,"torrent, shell-armor"
503,samurott,15,946,238,water,,95,100,85,108,70,70,"torrent, shell-armor"
504,patrat,5,116,51,normal,,45,55,39,35,39,42,"run-away, keen-eye, analytic"
505,watchog,11,270,147,normal,,60,85,69,60,69,77,"illuminate, keen-eye, analytic"
506,lillipup,4,41,55,normal,,45,60,45,25,45,55,"vital-spirit, pickup, run-away"
507,herdier,9,147,130,normal,,65,80,65,35,65,60,"intimidate, sand-rush, scrappy"
508,stoutland,12,610,225,normal,,85,110,90,45,90,80,"intimidate, sand-rush, scrappy"
509,purrloin,4,101,56,dark,,41,50,37,50,37,66,"limber, unburden, prankster"
510,liepard,11,375,156,dark,,64,88,50,88,50,106,"limber, unburden, prankster"
511,pansage,6,105,63,grass,,50,53,48,53,48,64,"gluttony, overgrow"
512,simisage,11,305,174,grass,,75,98,63,98,63,101,"gluttony, overgrow"
513,pansear,6,110,63,fire,,50,53,48,53,48,64,"gluttony, blaze"
514,simisear,10,280,174,fire,,75,98,63,98,63,101,"gluttony, blaze"
515,panpour,6,135,63,water,,50,53,48,53,48,64,"gluttony, torrent"
516,simipour,10,290,174,water,,75,98,63,98,63,101,"gluttony, torrent"
517,munna,6,233,58,psychic,,76,25,45,67,55,24,"forewarn, synchronize, telepathy"
518,musharna,11,605,170,psychic,,116,55,85,107,95,29,"forewarn, synchronize, telepathy"
519,pidove,3,21,53,normal,flying,50,55,50,36,30,43,"big-pecks, super-luck, rivalry"
520,tranquill,6,150,125,normal,flying,62,77,62,50,42,65,"big-pecks, super-luck, rivalry"
521,unfezant,12,290,220,normal,flying,80,115,80,65,55,93,"big-pecks, super-luck, rivalry"
522,blitzle,8,298,59,electric,,45,60,32,50,32,76,"lightning-rod, motor-drive, sap-sipper"
523,zebstrika,16,795,174,electric,,75,100,63,80,63,116,"lightning-rod, motor-drive, sap-sipper"
524,roggenrola,4,180,56,rock,,55,75,85,25,25,15,"sturdy, weak-armor, sand-force"
525,boldore,9,1020,137,rock,,70,105,105,50,40,20,"sturdy, weak-armor, sand-force"
526,gigalith,17,2600,232,rock,,85,135,130,60,80,25,"sturdy, sand-stream, sand-force"
527,woobat,4,21,65,psychic,flying,65,45,43,55,43,72,"unaware, klutz, simple"
528,swoobat,9,105,149,psychic,flying,67,57,55,77,55,114,"unaware, klutz, simple"
529,drilbur,3,85,66,ground,,60,85,40,30,45,68,"sand-rush, sand-force, mold-breaker"
530,excadrill,7,404,178,ground,steel,110,135,60,50,65,88,"sand-rush, sand-force, mold-breaker"
531,audino,11,310,390,normal,,103,60,86,60,86,50,"healer, regenerator, klutz"
532,timburr,6,125,61,fighting,,75,80,55,25,35,35,"guts, sheer-force, iron-fist"
533,gurdurr,12,400,142,fighting,,85,105,85,40,50,40,"guts, sheer-force, iron-fist"
534,conkeldurr,14,870,227,fighting,,105,140,95,55,65,45,"guts, sheer-force, iron-fist"
535,tympole,5,45,59,water,,50,50,40,50,40,64,"swift-swim, hydration, water-absorb"
536,palpitoad,8,170,134,water,ground,75,65,55,65,55,69,"swift-swim, hydration, water-absorb"
537,seismitoad,15,620,229,water,ground,105,95,75,85,75,74,"swift-swim, poison-touch, water-absorb"
538,throh,13,555,163,fighting,,120,100,85,30,85,45,"guts, inner-focus, mold-breaker"
539,sawk,14,510,163,fighting,,75,125,75,30,75,85,"sturdy, inner-focus, mold-breaker"
540,sewaddle,3,25,62,bug,grass,45,53,70,40,60,42,"swarm, chlorophyll, overcoat"
541,swadloon,5,73,133,bug,grass,55,63,90,50,80,42,"leaf-guard, chlorophyll, overcoat"
542,leavanny,12,205,225,bug,grass,75,103,80,70,80,92,"swarm, chlorophyll, overcoat"
543,venipede,4,53,52,bug,poison,30,45,59,30,39,57,"poison-point, swarm, speed-boost"
544,whirlipede,12,585,126,bug,poison,40,55,99,40,79,47,"poison-point, swarm, speed-boost"
545,scolipede,25,2005,218,bug,poison,60,100,89,55,69,112,"poison-point, swarm, speed-boost"
546,cottonee,3,6,56,grass,fairy,40,27,60,37,50,66,"prankster, infiltrator, chlorophyll"
547,whimsicott,7,66,168,grass,fairy,60,67,85,77,75,116,"prankster, infiltrator, chlorophyll"
548,petilil,5,66,56,grass,,45,35,50,70,50,30,"chlorophyll, own-tempo, leaf-guard"
549,lilligant,11,163,168,grass,,70,60,75,110,75,90,"chlorophyll, own-tempo, leaf-guard"
550,basculin-red-striped,10,180,161,water,,70,92,65,80,55,98,"reckless, adaptability, mold-breaker"
551,sandile,7,152,58,ground,dark,50,72,35,35,35,65,"intimidate, moxie, anger-point"
552,krokorok,10,334,123,ground,dark,60,82,45,45,45,74,"intimidate, moxie, anger-point"
553,krookodile,15,963,234,ground,dark,95,117,80,65,70,92,"intimidate, moxie, anger-point"
554,darumaka,6,375,63,fire,,70,90,45,15,45,50,"hustle, inner-focus"
555,darmanitan-standard,13,929,168,fire,,105,140,55,30,55,95,"sheer-force, zen-mode"
556,maractus,10,280,161,grass,,75,86,67,106,67,60,"water-absorb, chlorophyll, storm-drain"
557,dwebble,3,145,65,bug,rock,50,65,85,35,35,55,"sturdy, shell-armor, weak-armor"
558,crustle,14,2000,170,bug,rock,70,105,125,65,75,45,"sturdy, shell-armor, weak-armor"
559,scraggy,6,118,70,dark,fighting,50,75,70,35,70,48,"shed-skin, moxie, intimidate"
560,scrafty,11,300,171,dark,fighting,65,90,115,45,115,58,"shed-skin, moxie, intimidate"
561,sigilyph,14,140,172,psychic,flying,72,58,80,103,80,97,"wonder-skin, magic-guard, tinted-lens"
562,yamask,5,15,61,ghost,,38,30,85,55,65,30,mummy
563,cofagrigus,17,765,169,ghost,,58,50,145,95,105,30,mummy
564,tirtouga,7,165,71,water,rock,54,78,103,53,45,22,"solid-rock, sturdy, swift-swim"
565,carracosta,12,810,173,water,rock,74,108,133,83,65,32,"solid-rock, sturdy, swift-swim"
566,archen,5,95,71,rock,flying,55,112,45,74,45,70,defeatist
567,archeops,14,320,177,rock,flying,75,140,65,112,65,110,defeatist
568,trubbish,6,310,66,poison,,50,50,62,40,62,65,"stench, sticky-hold, aftermath"
569,garbodor,19,1073,166,poison,,80,95,82,60,82,75,"stench, weak-armor, aftermath"
570,zorua,7,125,66,dark,,40,65,40,80,40,65,illusion
571,zoroark,16,811,179,dark,,60,105,60,120,60,105,illusion
572,minccino,4,58,60,normal,,55,50,40,40,40,75,"cute-charm, technician, skill-link"
573,cinccino,5,75,165,normal,,75,95,60,65,60,115,"cute-charm, technician, skill-link"
574,gothita,4,58,58,psychic,,45,30,50,55,65,45,"frisk, competitive, shadow-tag"
575,gothorita,7,180,137,psychic,,60,45,70,75,85,55,"frisk, competitive, shadow-tag"
576,gothitelle,15,440,221,psychic,,70,55,95,95,110,65,"frisk, competitive, shadow-tag"
577,solosis,3,10,58,psychic,,45,30,40,105,50,20,"overcoat, magic-guard, regenerator"
578,duosion,6,80,130,psychic,,65,40,50,125,60,30,"overcoat, magic-guard, regenerator"
579,reuniclus,10,201,221,psychic,,110,65,75,125,85,30,"overcoat, magic-guard, regenerator"
580,ducklett,5,55,61,water,flying,62,44,50,44,50,55,"keen-eye, big-pecks, hydration"
581,swanna,13,242,166,water,flying,75,87,63,87,63,98,"keen-eye, big-pecks, hydration"
582,vanillite,4,57,61,ice,,36,50,50,65,60,44,"ice-body, snow-cloak, weak-armor"
583,vanillish,11,410,138,ice,,51,65,65,80,75,59,"ice-body, snow-cloak, weak-armor"
584,vanilluxe,13,575,241,ice,,71,95,85,110,95,79,"ice-body, snow-warning, weak-armor"
585,deerling,6,195,67,normal,grass,60,60,50,40,50,75,"chlorophyll, sap-sipper, serene-grace"
586,sawsbuck,19,925,166,normal,grass,80,100,70,60,70,95,"chlorophyll, sap-sipper, serene-grace"
587,emolga,4,50,150,electric,flying,55,75,60,75,60,103,"static, motor-drive"
588,karrablast,5,59,63,bug,,50,75,45,40,45,60,"swarm, shed-skin, no-guard"
589,escavalier,10,330,173,bug,steel,70,135,105,60,105,20,"swarm, shell-armor, overcoat"
590,foongus,2,10,59,grass,poison,69,55,45,55,55,15,"effect-spore, regenerator"
591,amoonguss,6,105,162,grass,poison,114,85,70,85,80,30,"effect-spore, regenerator"
592,frillish-male,12,330,67,water,ghost,55,40,50,65,85,40,"water-absorb, cursed-body, damp"
593,jellicent-male,22,1350,168,water,ghost,100,60,70,85,105,60,"water-absorb, cursed-body, damp"
594,alomomola,12,316,165,water,,165,75,80,40,45,65,"healer, hydration, regenerator"
595,joltik,1,6,64,bug,electric,50,47,50,57,50,65,"compound-eyes, unnerve, swarm"
596,galvantula,8,143,165,bug,electric,70,77,60,97,60,108,"compound-eyes, unnerve, swarm"
597,ferroseed,6,188,61,grass,steel,44,50,91,24,86,10,iron-barbs
598,ferrothorn,10,1100,171,grass,steel,74,94,131,54,116,20,"iron-barbs, anticipation"
599,klink,3,210,60,steel,,40,55,70,45,60,30,"plus, minus, clear-body"
600,klang,6,510,154,steel,,60,80,95,70,85,50,"plus, minus, clear-body"
601,klinklang,6,810,234,steel,,60,100,115,70,85,90,"plus, minus, clear-body"
602,tynamo,2,3,55,electric,,35,55,40,45,40,60,levitate
603,eelektrik,12,220,142,electric,,65,85,70,75,70,40,levitate
604,eelektross,21,805,232,electric,,85,115,80,105,80,50,levitate
605,elgyem,5,90,67,psychic,,55,55,55,85,55,30,"telepathy, synchronize, analytic"
606,beheeyem,10,345,170,psychic,,75,75,75,125,95,40,"telepathy, synchronize, analytic"
607,litwick,3,31,55,ghost,fire,50,30,55,65,55,20,"flash-fire, flame-body, infiltrator"
608,lampent,6,130,130,ghost,fire,60,40,60,95,60,55,"flash-fire, flame-body, infiltrator"
609,chandelure,10,343,234,ghost,fire,60,55,90,145,90,80,"flash-fire, flame-body, infiltrator"
610,axew,6,180,64,dragon,,46,87,60,30,40,57,"rivalry, mold-breaker, unnerve"
611,fraxure,10,360,144,dragon,,66,117,70,40,50,67,"rivalry, mold-breaker, unnerve"
612,haxorus,18,1055,243,dragon,,76,147,90,60,70,97,"rivalry, mold-breaker, unnerve"
613,cubchoo,5,85,61,ice,,55,70,40,60,40,40,"snow-cloak, slush-rush, rattled"
614,beartic,26,2600,177,ice,,95,130,80,70,80,50,"snow-cloak, slush-rush, swift-swim"
615,cryogonal,11,1480,180,ice,,80,50,50,95,135,105,levitate
616,shelmet,4,77,61,bug,,50,40,85,40,65,25,"hydration, shell-armor, overcoat"
617,accelgor,8,253,173,bug,,80,70,40,100,60,145,"hydration, sticky-hold, unburden"
618,stunfisk,7,110,165,ground,electric,109,66,84,81,99,32,"static, limber, sand-veil"
619,mienfoo,9,200,70,fighting,,45,85,50,55,50,65,"inner-focus, regenerator, reckless"
620,mienshao,14,355,179,fighting,,65,125,60,95,60,105,"inner-focus, regenerator, reckless"
621,druddigon,16,1390,170,dragon,,77,120,90,60,90,48,"rough-skin, sheer-force, mold-breaker"
622,golett,10,920,61,ground,ghost,59,74,50,35,50,35,"iron-fist, klutz, no-guard"
623,golurk,28,3300,169,ground,ghost,89,124,80,55,80,55,"iron-fist, klutz, no-guard"
624,pawniard,5,102,68,dark,steel,45,85,70,40,40,60,"defiant, inner-focus, pressure"
